id,Rank,CCA3,Country/Territory,Capital,Continent
1,36,AFG,Afghanistan,Kabul,Asia
2,138,ALB,Albania,Tirana,Europe
3,34,DZA,Algeria,Algiers,Africa
4,213,ASM,American Samoa,Pago Pago,Oceania
5,203,AND,Andorra,Andorra la Vella,Europe
6,42,AGO,Angola,Luanda,Africa
7,224,AIA,Anguilla,The Valley,North America
8,201,ATG,Antigua and Barbuda,Saint Johnâ€™s,North America
9,33,ARG,Argentina,Buenos Aires,South America
10,140,ARM,Armenia,Yerevan,Asia
11,198,ABW,Aruba,Oranjestad,North America
12,55,AUS,Australia,Canberra,Oceania
13,99,AUT,Austria,Vienna,Europe
14,91,AZE,Azerbaijan,Baku,Asia
